ID,district_name,province,coords_lat,coords_lng,distance_to_capital_km_norm,population_total_norm,population_growth_5y_norm,population_density_norm,urbanisation_index,num_major_towns_100k_norm,largest_town_pop_share,market_access_index,nightlight_intensity,  health_facilities_per_100k_norm, schools_per_100k_norm,university_or_college_count_norm,  road_quality_index,electricity_access_rate_norm,water_access_rate_norm,  median_rent_index,avg_income_index, informal_sector_share_norm,safety_index,green_cover_index,is_provincial_capital,is_border_district
1,Chibombo,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chisamba,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chitambo,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kabwe,,,,,,,,,,,,,,,,,,,,,,,,,
5,Kapiri Mposhi,,,,,,,,,,,,,,,,,,,,,,,,,
6,Luano,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mkushi,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mumbwa,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ngabwe,,,,,,,,,,,,,,,,,,,,,,,,,
10,Serenje,,,,,,,,,,,,,,,,,,,,,,,,,
11,Shibuyunji,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chililabombwe,,,,,,,,,,,,,,,,,,,,,,,,,
13,Chingola,,,,,,,,,,,,,,,,,,,,,,,,,
14,Kalulushi,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kitwe,,,,,,,,,,,,,,,,,,,,,,,,,
16,Luanshya,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lufwanyama,,,,,,,,,,,,,,,,,,,,,,,,,
18,Masaiti,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mpongwe,,,,,,,,,,,,,,,,,,,,,,,,,
20,Mufulira,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ndola,,,,,,,,,,,,,,,,,,,,,,,,,
22,Chadiza,,,,,,,,,,,,,,,,,,,,,,,,,
23,Chama,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chasefu,,,,,,,,,,,,,,,,,,,,,,,,,
25,Chipangali,,,,,,,,,,,,,,,,,,,,,,,,,
26,Chipata,,,,,,,,,,,,,,,,,,,,,,,,,
27,Kasenengwa,,,,,,,,,,,,,,,,,,,,,,,,,
28,Katete,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lumezi,,,,,,,,,,,,,,,,,,,,,,,,,
30,Lundazi,,,,,,,,,,,,,,,,,,,,,,,,,
31,Lusangazi,,,,,,,,,,,,,,,,,,,,,,,,,
