ID,district_name,province,coords_lat,coords_lng,distance_to_capital_km_norm,population_total_norm,population_growth_5y_norm,population_density_norm,urbanisation_index,num_major_towns_100k_norm,largest_town_pop_share,market_access_index,nightlight_intensity,health_facilities_per_100k_norm,schools_per_100k_norm,university_or_college_count_norm,road_quality_index,electricity_access_rate_norm,water_access_rate_norm,median_rent_index,avg_income_index,informal_sector_share_norm,safety_index,green_cover_index,is_provincial_capital,is_border_district
1,Chibombo,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
2,Chisamba,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
3,Chitambo,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
4,Kabwe,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
5,Kapiri Mposhi,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
6,Luano,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
7,Mkushi,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
8,Mumbwa,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
9,Ngabwe,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
10,Serenje,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
11,Shibuyunji,Central Province,,,,,,,,,,,,,,,,,,,,,,,,
12,Chililabombwe,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
13,Chingola,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
14,Kalulushi,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
15,Kitwe,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
16,Luanshya,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
17,Lufwanyama,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
18,Masaiti,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
19,Mpongwe,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
20,Mufulira,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
21,Ndola,Copperbelt Province,,,,,,,,,,,,,,,,,,,,,,,,
22,Chadiza,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
23,Chama,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
24,Chasefu,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
25,Chipangali,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
26,Chipata,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
27,Kasenengwa,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
28,Katete,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
29,Lumezi,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
30,Lundazi,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
31,Lusangazi,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
32,Mambwe,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
33,Nyimba,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
34,Petauke,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
35,Sinda,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
36,Vubwi,Eastern Province,,,,,,,,,,,,,,,,,,,,,,,,
37,Chembe,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
38,Chiengi,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
39,Chifunabuli,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
40,Chipili,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
41,Kawambwa,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
42,Lunga,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
43,Mansa,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
44,Milenge,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
45,Mwansabombwe,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
46,Mwense,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
47,Nchelenge,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
48,Samfya,Luapula Province,,,,,,,,,,,,,,,,,,,,,,,,
49,Chilanga,Lusaka Province,,,,,,,,,,,,,,,,,,,,,,,,
50,Chongwe,Lusaka Province,,,,,,,,,,,,,,,,,,,,,,,,
51,Kafue,Lusaka Province,,,,,,,,,,,,,,,,,,,,,,,,
52,Luangwa,Lusaka Province,,,,,,,,,,,,,,,,,,,,,,,,
53,Lusaka,Lusaka Province,,,,,,,,,,,,,,,,,,,,,,,,
54,Rufunsa,Lusaka Province,,,,,,,,,,,,,,,,,,,,,,,,
55,Chinsali,Northern Province,,,,,,,,,,,,,,,,,,,,,,,,
56,Isoka,Northern Province,,,,,,,,,,,,,,,,,,,,,,,,
57,Kanchibiya,Northern Province,,,,,,,,,,,,,,,,,,,,,,,,
58,Lavushimanda,Northern Province,,,,,,,,,,,,,,,,,,,,,,,,
59,Mafinga,Northern Province,,,,,,,,,,,,,,,,,,,,,,,,
60,Mpika,Northern Province,,,,,,,,,,,,,,,,,,,,,,,,
61,Nakonde,Northern Province,,,,,,,,,,,,,,,,,,,,,,,,
62,Shiwang'andu,Northern Province,,,,,,,,,,,,,,,,,,,,,,,,
63,Chilubi,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
64,Kaputa,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
65,Kasama,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
66,Lunte,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
67,Lupososhi,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
68,Luwingu,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
69,Mbala,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
70,Mporokoso,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
71,Mpulungu,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
72,Mungwi,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
73,Nsama,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
74,Senga,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
75,Chavuma,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
76,Ikelenge,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
77,Kabompo,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
78,Kalumbila,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
79,Mufumbwe,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
80,Mushindamo,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
81,Solwezi,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
82,Zambezi,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
83,Choma,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
84,Gwembe,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
85,Kalomo,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
86,Kazungula,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
87,Livingstone,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
88,Maamba,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
89,Monze,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
90,Namwala,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
91,Pemba,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
92,Sinazongwe,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
93,Kaoma,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
94,Lukulu,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
95,Mongu,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
96,Nalolo,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
97,Nkeyema,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
98,Sesheke,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
99,Sikongo,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
100,Sinjembela,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
101,Shang'ombo,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
102,Sioma,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
103,Luampa,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
104,Limulunga,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
105,Shiwang'andu,Northern Province,,,,,,,,,,,,,,,,,,,,,,,,
106,Manyinga,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
107,Kasempa,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
108,Chikankata,Lusaka Province,,,,,,,,,,,,,,,,,,,,,,,,
109,Itezhi-Tezhi,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
110,Mwinilunga,North-Western Province,,,,,,,,,,,,,,,,,,,,,,,,
111,Chirundu,Lusaka Province,,,,,,,,,,,,,,,,,,,,,,,,
112,Mazabuka,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
113,Siavonga,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
114,Zimba,Southern Province,,,,,,,,,,,,,,,,,,,,,,,,
115,Kalabo,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
116,Mitete,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
117,Mulobezi,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
118,Mwandi,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
119,Senanga,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
120,Sioma,Western Province,,,,,,,,,,,,,,,,,,,,,,,,
