ID,district_name,province,coords_lat,coords_lng,distance_to_capital_km_norm,population_total_norm,population_growth_5y_norm,population_density_norm,urbanisation_index,num_major_towns_100k_norm,largest_town_pop_share,market_access_index,nightlight_intensity,health_facilities_per_100k_norm,schools_per_100k_norm,university_or_college_count_norm,road_quality_index,electricity_access_rate_norm,water_access_rate_norm,median_rent_index,avg_income_index,informal_sector_share_norm,safety_index,green_cover_index,is_provincial_capital,is_border_district,,,
1,Chibombo,Central Province,-29.3667,28.8156,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chisamba,Central Province,-13.5167,28.3833,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chitambo,Central Province,-13.3833,29.3667,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kabwe,Central Province,-14.4699,28.4397,,,,,,,,,,,,,,,,,,,,,,,,,1
5,Kapiri Mposhi,Central Province,-13.9167,28.6667,,,,,,,,,,,,,,,,,,,,,,,,,
6,Luano,Central Province,-13.7667,28.15,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mkushi,Central Province,-13.5667,29.4167,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mumbwa,Central Province,-13.9333,27.1333,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ngabwe,Central Province,-14.1,28.5833,,,,,,,,,,,,,,,,,,,,,,,,,
10,Serenje,Central Province,-13.1333,29.1667,,,,,,,,,,,,,,,,,,,,,,,,,
11,Shibuyunji,Central Province,-14.2833,28.75,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chililabombwe,Copperbelt Province,-12.3167,28.65,,,,,,,,,,,,,,,,,,,,,,,,,
13,Chingola,Copperbelt Province,-12.5333,28.7667,,,,,,,,,,,,,,,,,,,,,,,,,
14,Kalulushi,Copperbelt Province,-12.8167,28.2667,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kitwe,Copperbelt Province,-12.8167,28.3167,,,,,,,,,,,,,,,,,,,,,,,,,1
16,Luanshya,Copperbelt Province,-13.1333,28.4167,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lufwanyama,Copperbelt Province,-12.6333,29.0833,,,,,,,,,,,,,,,,,,,,,,,,,
18,Masaiti,Copperbelt Province,-12.6667,28.6167,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mpongwe,Copperbelt Province,-12.4333,29.4,,,,,,,,,,,,,,,,,,,,,,,,,
20,Mufulira,Copperbelt Province,-12.55,28.2333,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ndola,Copperbelt Province,-12.9667,28.6333,,,,,,,,,,,,,,,,,,,,,,,,,1
22,Chadiza,Eastern Province,-13.2667,31.9833,,,,,,,,,,,,,,,,,,,,,,,,,
23,Chama,Eastern Province,-13.1167,32.3833,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chasefu,Eastern Province,-13.6333,32.3167,,,,,,,,,,,,,,,,,,,,,,,,,
25,Chipangali,Eastern Province,-13.7,31.8333,,,,,,,,,,,,,,,,,,,,,,,,,
26,Chipata,Eastern Province,-13.4333,32.6333,,,,,,,,,,,,,,,,,,,,,,,,,1
27,Kasenengwa,Eastern Province,-15.25,29.4167,,,,,,,,,,,,,,,,,,,,,,,,,
28,Katete,Eastern Province,-13.8833,32.1833,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lumezi,Eastern Province,-13.5,31.6667,,,,,,,,,,,,,,,,,,,,,,,,,
30,Lundazi,Eastern Province,-12.2833,33.3667,,,,,,,,,,,,,,,,,,,,,,,,,
31,Lusangazi,Eastern Province,-13.0333,32.85,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mambwe,Eastern Province,-12,33,,,,,,,,,,,,,,,,,,,,,,,,,
33,Nyimba,Eastern Province,-13.4167,33,,,,,,,,,,,,,,,,,,,,,,,,,
34,Petauke,Eastern Province,-13.2667,31.3,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sinda,Eastern Province,-13.2167,31.3833,,,,,,,,,,,,,,,,,,,,,,,,,
